,EVALID,PLOTID,STATECD,CONDID,SUBP,STATUSCD,STANDING_DEAD_CD,SPCD,scientific,NBR_STEMS,DIA,TPA_UNADJ,OWNGRPCD,FIA_LANDUSE,ITREE_LANDUSE,LEAF_AREA_ITREE,CROWN_DIEBACK_CD,IS_MAINTAINED_AREA,IS_STREET_TREE,IS_PLANTED
25181,PortlandME2022Curr,2384034,23,1,1,Live,NA,12,Abies balsamea,1,19,6.018046286,StateLocal,Rights-of-Way,Transportation/Utility,1550.660427,45,0,0,3
25182,PortlandME2022Curr,2384057,23,1,11,Live,NA,8813,Tilia cordata,1,1.7,74.96528245,StateLocal,Forest land,Unused/Other,168.153393,0,0,0,2
25183,PortlandME2022Curr,2383450,23,1,1,Live,NA,660,Malus spp.,1,10.4,6.018046286,Private,Commercial/Industrial,Institutional/Commercial,1084.05067,10,1,0,1
25184,PortlandME2022Curr,2384088,23,1,1,Live,NA,833,Quercus rubra,1,16.6,6.018046286,StateLocal,Forest land,Unused/Other,6415.482275,5,0,0,2
25718,PortlandME2022Curr,2383474,23,1,11,Live,NA,8813,Tilia cordata,1,1.8,74.96528245,StateLocal,Rights-of-Way,Water,139.9636901,0,0,0,2
25719,PortlandME2022Curr,2384105,23,1,1,Live,NA,129,Pinus strobus,1,14.3,6.018046286,Private,Residential,Residential,4417.33087,0,1,0,1
25720,PortlandME2022Curr,2384105,23,1,1,Live,NA,320,Acer platanoides,1,6.8,6.018046286,Private,Residential,Residential,4612.389005,0,0,0,2
25721,PortlandME2022Curr,2383789,23,1,1,Live,NA,371,Betula alleghaniensis,1,6.9,6.018046286,StateLocal,Forest land,Cemetery/Park/Golf,3383.285775,0,0,0,2
25722,PortlandME2022Curr,2383789,23,1,1,Live,NA,371,Betula alleghaniensis,1,7.7,6.018046286,StateLocal,Forest land,Cemetery/Park/Golf,581.7210895,40,0,0,2
25723,PortlandME2022Curr,2383789,23,1,1,Live,NA,833,Quercus rubra,1,17.4,6.018046286,StateLocal,Forest land,Cemetery/Park/Golf,6460.863325,5,0,0,2
25744,PortlandME2022Curr,2384025,23,1,1,Live,NA,129,Pinus strobus,1,10.7,6.018046286,StateLocal,Forest land,Unused/Other,2020.921438,0,0,0,2
25745,PortlandME2022Curr,2383399,23,1,1,Live,NA,320,Acer platanoides,1,21,6.018046286,StateLocal,Rights-of-Way,Multi-family,8140.061165,10,1,1,1
25746,PortlandME2022Curr,2383437,23,1,1,Live,NA,320,Acer platanoides,1,5.1,6.018046286,Private,Multi-family,Multi-family,1590.598003,0,1,0,2
25755,PortlandME2022Curr,2384174,23,1,1,Live,NA,833,Quercus rubra,1,14.5,6.018046286,Private,Commercial/Industrial,Institutional/Commercial,5567.026584,5,1,0,3
25759,PortlandME2022Curr,2388053,23,2,1,Live,NA,91,Picea abies,1,5.1,6.018046286,Private,Residential,Residential,1004.437443,0,0,0,2
25771,PortlandME2022Curr,2388053,23,2,14,Live,NA,833,Quercus rubra,1,3.9,74.96528245,Private,Residential,Residential,966.5522303,0,0,0,2
25772,PortlandME2022Curr,2388053,23,2,1,Live,NA,833,Quercus rubra,1,7.9,6.018046286,Private,Residential,Residential,4456.284123,0,0,0,2
25783,PortlandME2022Curr,2383488,23,1,1,Live,NA,833,Quercus rubra,1,14.8,6.018046286,Private,Forest land,Unused/Other,9238.002309,5,0,0,2
25784,PortlandME2022Curr,2383488,23,1,1,Live,NA,129,Pinus strobus,1,6.7,6.018046286,Private,Forest land,Unused/Other,1011.972196,0,0,0,2
