"","EVALID","PLOTID","STATECD","CONDID","SUBP","STATUSCD","STANDING_DEAD_CD","SPCD","scientific","NBR_STEMS","DIA","TPA_UNADJ","OWNGRPCD","FIA_LANDUSE","ITREE_LANDUSE","LEAF_AREA_ITREE","CROWN_DIEBACK_CD","IS_MAINTAINED_AREA","IS_STREET_TREE","IS_PLANTED","PLT_CN","MTRE_CN","CND_CN"
"1546","AustinTX2023Curr",1114805,48,1,1,"Live",NA,61,"Juniperus ashei",7,9.7,6.0180462857,"Private","Forest land","Unused/Other",434.7580296834,0,0,0,2,505184013126144,1262762696290487,809627522290487
"1547","AustinTX2023Curr",1114805,48,1,11,"Live",NA,838,"Quercus virginiana",1,2.6,74.9652824512,"Private","Forest land","Unused/Other",89.9612070057,5,0,0,2,505184013126144,809627584290487,809627522290487
"1548","AustinTX2023Curr",1114704,48,1,1,"Live",NA,7575,"Ligustrum sinense",1,10,6.0180462857,"OtherFederal","Forest land","Unused/Other",834.1391515606,0,0,0,2,297167301489998,1262758974290487,429472857489998
"1549","AustinTX2023Curr",1114747,48,1,1,"Live",NA,973,"Ulmus crassifolia",1,6.3,6.0180462857,"Private","Commercial/Industrial","Institutional/Commercial",495.3231922335,5,1,0,1,297167305489998,488917105126144,429472978489998
"1550","AustinTX2023Curr",1114638,48,1,1,"Live",NA,544,"Fraxinus pennsylvanica",1,5.9,6.0180462857,"Private","Forest land","Unused/Other",479.3902057565,5,0,0,2,365786670489998,488919585126144,483938724489998
"1551","AustinTX2023Curr",1114746,48,1,1,"Live",NA,8513,"Quercus buckleyi",1,6.7,6.0180462857,"Private","Recreation/Cemetery","Cemetery/Park/Golf",890.2859647327,10,0,0,2,489746515126144,707920428126144,707920404126144
"1553","AustinTX2023Curr",1114693,48,2,1,"Live",NA,972,"Ulmus americana",2,16,6.0180462857,"StateLocal","Forest land","Unused/Other",3874.6920550716,0,0,0,2,297167309489998,488917128126144,429473108489998
"1554","AustinTX2023Curr",1114638,48,1,1,"Live",NA,544,"Fraxinus pennsylvanica",1,5.2,6.0180462857,"Private","Forest land","Unused/Other",424.4891716138,5,0,0,2,365786670489998,488919621126144,483938724489998
"1555","AustinTX2023Curr",1114638,48,1,11,"Live",NA,973,"Ulmus crassifolia",1,1.6,74.9652824512,"Private","Forest land","Unused/Other",42.8089262375,0,0,0,2,365786670489998,488919623126144,483938724489998
"1556","AustinTX2023Curr",1114734,48,1,1,"Live",NA,838,"Quercus virginiana",1,12,6.0180462857,"Private","Residential","Residential",2463.8248145594,0,1,0,2,489746519126144,707921464126144,707921440126144
"1559","AustinTX2023Curr",1114775,48,1,14,"Live",NA,522,"Diospyros texana",1,2.5,74.9652824512,"StateLocal","Forest land","Unused/Other",70.5753233608,0,0,0,2,729648994290487,1262763318290487,941922981290487
"1560","AustinTX2023Curr",1114787,48,1,1,"Live",NA,461,"Celtis laevigata",1,6.3,6.0180462857,"Private","Recreation/Cemetery","Cemetery/Park/Golf",423.3586627951,0,0,0,2,297167316489998,488917148126144,468653197489998
"1561","AustinTX2023Curr",1114718,48,1,1,"Live",NA,731,"Platanus occidentalis",1,9.1,6.0180462857,"Private","Residential","Residential",2121.3964771228,0,0,0,2,297167317489998,488917162126144,429473440489998
"1562","AustinTX2023Curr",1114647,48,1,1,"Live",NA,756,"Prosopis glandulosa",4,7.1,6.0180462857,"StateLocal","Forest land","Unused/Other",181.2222482278,5,0,0,2,365786672489998,1262760405290487,483938858489998
"1564","AustinTX2023Curr",1114721,48,1,1,"Live",NA,313,"Acer negundo",1,8.4,6.0180462857,"StateLocal","Forest land","Unused/Other",1712.4826775313,5,0,0,2,489746525126144,707920886126144,707920837126144
